ԱԱ	ɑ ɑ́
զսպանակ	z ə s p ɑ n ɑ́ ɡ
զսպաշապիկ	z ə s p ɑ ʃ ɑ b í ɡ
զսպել	z ə s p é l
զվարակ	z ə v ɑ ɾ ɑ́ ɡ
զվարթ	z ə v ɑ́ ɾ tʰ
զվարճախոսել	z ə v ɑ ɾ d͡ʒ ɑ χ o s é l
զվարճանալ	z ə v ɑ ɾ d͡ʒ ɑ n ɑ́ l
զվարճանք	z ə v ɑ ɾ d͡ʒ ɑ́ ŋ kʰ
զվարճացնել	z ə v ɑ ɾ d͡ʒ ɑ t͡sʰ ə n é l
զվարճություն	z ə v ɑ ɾ d͡ʒ u tʰ ʏ́ n
զտարյուն	z ə d ɑ ɾ ʏ́ n
զտել	z ə d é l
զրադաշտական	z ə ɾ ɑ tʰ ɑ ʃ t ɑ ɡ ɑ́ n
զրադաշտականություն	z ə ɾ ɑ tʰ ɑ ʃ t ɑ ɡ ɑ n u tʰ ʏ́ n
զրահ	z ə ɾ ɑ́ h
զրահաբաճկոն	z ə ɾ ɑ h ɑ pʰ ɑ d͡ʒ ɡ ó n
զրահագնացք	z ə ɾ ɑ h ɑ kʰ ə n ɑ́ t͡sʰ kʰ
զրահակիր	z ə ɾ ɑ h ɑ ɡ í ɾ
զրահամորթ	z ə ɾ ɑ h ɑ m ó ɾ tʰ
զրահավոր	z ə ɾ ɑ h ɑ v ó ɾ
զրիշկ	z ə ɾ í ʃ k
զրկել	z ə ɾ ɡ é l
զրնգալ	z ə ɾ ə ŋ kʰ ɑ́ l
զրո	z ə ɾ ó
զրույց	z ə ɾ ú j t͡sʰ
զրուցարան	z ə ɾ u t͡sʰ ɑ ɾ ɑ́ n
զրուցել	z ə ɾ u t͡sʰ é l
զրպարտություն	z ə ɾ b ɑ ɾ d u tʰ ʏ́ n
է	e
է	j e
էակ	e j ɑ́ ɡ
էական	e j ɑ ɡ ɑ́ n
էգ	e kʰ
էգուց	e kʰ ú t͡sʰ
էդ	e tʰ
էթալ	e tʰ ɑ́ l
էթիկա	e tʰ i ɡ ɑ́
էթնիկ	e tʰ n í ɡ
էժան	e ʒ ɑ́ n
էի	e j í
էի	j e j í
էին	e j í n
էին	j e j í n
էինք	e j í ŋ kʰ
էինք	j e j í ŋ kʰ
էիր	e j í ɾ
էիր	j e j í ɾ
էիք	e j í kʰ
էիք	j e j í kʰ
էլ	e l
էլեկտրակայան	e l e ɡ d ɾ ɑ ɡ ɑ j ɑ́ n
էլեկտրական	e l e ɡ d ɾ ɑ ɡ ɑ́ n
էլեկտրականություն	e l e ɡ d ɾ ɑ ɡ ɑ n u tʰ ʏ́ n
էլեկտրաշոկ	e l e ɡ d ɾ ɑ ʃ ó ɡ
էլեկտրոդ	e l e ɡ d ɾ ó tʰ
էլեկտրոլիզ	e l e ɡ d ɾ o l í z
էլեկտրոն	e l e ɡ d ɾ ó n
էլեկտրոնային	e l e ɡ d ɾ o n ɑ j í n
էլեմենտ	e l e m é n d
էլեմենտար	e l e m e n d ɑ́ ɾ
էլզասցի	e l z ɑ s t͡sʰ í
էլի	e l í
էծ	e d͡z
էկզոնիմ	e ɡ z o n í m
էկոլոգիա	e ɡ o l o kʰ i j ɑ́
էկոլոգիա	e ɡ o l ó kʰ i j ɑ
էկող	e ɡ ó ʁ
էկոնոմիկա	e ɡ o n ó m i ɡ ɑ
էկորճ	e ɡ ó ɾ d͡ʒ
էկրան	e ɡ ɾ ɑ́ n
էղնել	e ʁ n é l
էմիգրանտ	e m i kʰ ɾ ɑ́ n d
էմիր	e m í ɾ
էմիրություն	e m i ɾ u tʰ ʏ́ n
էմիրություններ	e m i ɾ u tʰ ʏ nː é ɾ
էմոցիա	e m ó t͡sʰ i j ɑ
էյնշտեյնիում	e j n ʃ t e j n i j ú m
էյնշտեյնիում	e j n ʃ t é j n i j u m
էն	e n
էնցեֆալիտ	e n t͡sʰ e f ɑ l í d
էշ	e ʃ
էշայծյամ	e ʃ ɑ j d͡z j ɑ́ m
էության	e u tʰ j ɑ́ n
էություն	e j u tʰ ʏ́ n
էպիկենտրոն	e b i ɡ e n d ɾ ó n
էպոս	e b ó s
էջ	e t͡ʃʰ
էջանիշ	e t͡ʃʰ ɑ n í ʃ
էս	e s
էսկալացիա	e s k ɑ l ɑ́ t͡sʰ i j ɑ
էսնաֆ	e s n ɑ́ f
էսպերանտո	e s p e ɾ ɑ́ n d o
էսսե	e sː é
էստոնական	e s t o n ɑ ɡ ɑ́ n
էստոնացի	e s t o n ɑ t͡sʰ í
էստոներեն	e s t o n e ɾ é n
էսօր	e s ó ɾ
էվթանազիա	e f tʰ ɑ n ɑ́ z i j ɑ
էվոլյուցիա	e v o l ʏ́ t͡sʰ i j ɑ
էվոլյուցիոն	e v o l ʏ t͡sʰ j ó n
էտ	e d
էտել	e d é l
էտրուսկ	e d ɾ ú s k
էտրուսկերեն	e d ɾ u s k e ɾ é n
էտրուսկյան	e d ɾ u s k j ɑ́ n
էր	e ɾ
էր	j e ɾ
էրե	e ɾ é
էրեխա	e ɾ e χ ɑ́
էրեկ	e ɾ é ɡ
էրեկցիա	e ɾ e kʰ t͡sʰ i j ɑ́
էրեկցիա	e ɾ é kʰ t͡sʰ i j ɑ
էրես	e ɾ é s
էրիկ	e ɾ í ɡ
էրկաթ	e ɾ ɡ ɑ́ tʰ
էրկու	e ɾ ɡ ú
էրնջակ	e ɾ ə n d͡ʒ ɑ́ k
էրևալ	e ɾ e v ɑ́ l
էքսպերիմենտալ	e kʰ s p e ɾ i m e n d ɑ́ l
էքսպերտ	e kʰ s p é ɾ d
էքստրեմիստ	e kʰ s t ɾ e m í s t
էֆենդի	e f e n tʰ í
ը	ə
ըթ	ə tʰ
ըլլալ	ə lː ɑ́ l
ըլնել	ə l n é l
ըղձալ	ə χ t͡sʰ ɑ́ l
ըղձական	ə χ t͡sʰ ɑ ɡ ɑ́ n
ըղրի	ə ʁ ɾ í
ըմբիշ	ə m pʰ í ʃ
ըմբշամարտ	ə m pʰ ʃ ɑ m ɑ́ ɾ d
ըմբշամարտություն	ə m pʰ ʃ ɑ m ɑ ɾ d u tʰ ʏ́ n
ըմբոշխնել	ə m pʰ o ʃ χ ə n é l
ըմբոստ	ə m pʰ ó s t
ըմբռնել	ə m pʰ ə r n é l
ըմպակ	ə m b ɑ́ ɡ
ըմպանակ	ə m b ɑ n ɑ́ ɡ
ըմպել	ə m b é l
ըմպելիք	ə m b e l í kʰ
ընդամենը	ə n tʰ ɑ m é n ə
ընդավոր	ə n tʰ ɑ v ó ɾ
ընդարձակ	ə n tʰ ɑ ɾ t͡sʰ ɑ́ ɡ
ընդարմանալ	ə n tʰ ɑ ɾ m ɑ n ɑ́ l
ընդգծել	ə n tʰ kʰ ə d͡z é l
ընդդեմ	ə n tʰː é m
ընդդիմություն	ə n tʰː i m u tʰ ʏ́ n
ընդելուզել	ə n tʰ e l u z é l
ընդեղեն	ə n tʰ e ʁ é n
ընդեր	ə n tʰ é ɾ
ընդերք	ə n tʰ é ɾ kʰ
ընդլայնել	ə n tʰ l ɑ j n é l
ընդհանուր	ə n tʰ h ɑ n ú ɾ
ընդհանուր	ə n tʰ ɑ n ú ɾ
ընդհանրական	ə n tʰ h ɑ n ɾ ɑ ɡ ɑ́ n
ընդհանրապես	ə n tʰ h ɑ n ɾ ɑ b é s
ընդհանրապես	ə n tʰ ɑ n ɾ ɑ b é s
ընդհատել	ə n tʰ h ɑ d é l
ընդհատվել	ə n tʰ h ɑ d v é l
ընդմիշտ	ə n tʰ m í ʃ t
ընդոծին	ə n tʰ o d͡z í n
ընդոստել	ə n tʰ o s t é l
ընդոստնել	ə n tʰ o s t n é l
ընդունակ	ə n tʰ u n ɑ́ ɡ
ընդունակություն	ə n tʰ u n ɑ ɡ u tʰ ʏ́ n
ընդունարան	ə n tʰ u n ɑ ɾ ɑ́ n
ընդունել	ə n tʰ u n é l
ընդունելի	ə n tʰ u n e l í
ընդունիլ	ə n tʰ u n í l
ընդունում	ə n tʰ u n ú m
ընդունված	ə n tʰ u n v ɑ́ d͡z
ընդունվել	ə n tʰ u n v é l
ընդվզում	ə n tʰ v ə z ú m
ընդօրինակել	ə n tʰ o ɾ i n ɑ ɡ é l
ընել	ə n é l
ընելիք	ə n e l í kʰ
ընթադրել	ə n tʰ ɑ tʰ ə ɾ é l
ընթածիր	ə n tʰ ɑ d͡z í ɾ
ընթանալ	ə n tʰ ɑ n ɑ́ l
ընթաց	ə n tʰ ɑ́ t͡sʰ
ընթացակարգ	ə n tʰ ɑ t͡sʰ ɑ ɡ ɑ́ ɾ kʰ
ընթացիկ	ə n tʰ ɑ t͡sʰ í ɡ
ընթացք	ə n tʰ ɑ́ t͡sʰ kʰ
ընթացքում	ə n tʰ ɑ t͡sʰ kʰ ú m
ընթեռնել	ə n tʰ e r n é l
ընթերցանություն	ə n tʰ e ɾ t͡sʰ ɑ n u tʰ ʏ́ n
ընթերցասրահ	ə n tʰ e ɾ t͡sʰ ɑ s ə ɾ ɑ́ h
ընթերցել	ə n tʰ e ɾ t͡sʰ é l
ընթերցող	ə n tʰ e ɾ t͡sʰ ó ʁ
ընթերցողուհի	ə n tʰ e ɾ t͡sʰ o ʁ u h í
ընթերցում	ə n tʰ e ɾ t͡sʰ ú m
ընթրիք	ə n tʰ ɾ í kʰ
ընծա	ə n d͡z ɑ́
ընկալուչ	ə ŋ ɡ ɑ l ú t͡ʃʰ
ընկեր	ə ŋ ɡ é ɾ
ընկերաբար	ə ŋ ɡ e ɾ ɑ pʰ ɑ́ ɾ
ընկերակցիլ	ə ŋ ɡ e ɾ ɑ kʰ t͡sʰ í l
ընկերակցիլ	ə ŋ ɡ e ɾ ɑ ɡ ə t͡sʰ í l
ընկերություն	ə ŋ ɡ e ɾ u tʰ ʏ́ n
ընկերուհի	ə ŋ ɡ e ɾ u h í
ընկերվարություն	ə ŋ ɡ e ɾ v ɑ ɾ u tʰ ʏ́ n
ընկերք	ə ŋ ɡ é ɾ kʰ
ընկեցիկ	ə ŋ ɡ e t͡sʰ í ɡ
ընկղմել	ə ŋ ɡ ə ʁ m é l
ընկճախտ	ə ŋ ɡ ə d͡ʒ ɑ́ χ t
ընկճել	ə ŋ ɡ ə d͡ʒ é l
ընկճվել	ə ŋ ɡ ə d͡ʒ v é l
ընկնավորություն	ə ŋ ɡ n ɑ v o ɾ u tʰ ʏ́ n
ընկուզենի	ə ŋ ɡ u z e n í
ընկույզ	ə ŋ ɡ ú j z
ընկույզկոտրիչ	ə ŋ ɡ u j z ɡ o d ɾ í t͡ʃʰ
ընձառյուծ	ə n t͡sʰ ɑ r ʏ́ d͡z
ընձուղտ	ə n t͡sʰ ú χ t
ընչաքաղց	ə n t͡ʃʰ ɑ kʰ ɑ́ χ t͡sʰ
ընտանեական	ə n d ɑ n j ɑ ɡ ɑ́ n
ընտանեկան	ə n d ɑ n e ɡ ɑ́ n
ընտանի	ə n d ɑ n í
ընտանիք	ə n d ɑ n í kʰ
ընտելանալ	ə n d e l ɑ n ɑ́ l
ընտիր	ə n d í ɾ
ընտրազանգված	ə n d ɾ ɑ z ɑ ŋ kʰ v ɑ́ d͡z
ընտրական	ə n d ɾ ɑ ɡ ɑ́ n
ընտրակաշառք	ə n d ɾ ɑ ɡ ɑ ʃ ɑ́ r kʰ
ընտրակեղծարար	ə n d ɾ ɑ ɡ e ʁ d͡z ɑ ɾ ɑ́ ɾ
ընտրանք	ə n d ɾ ɑ́ ŋ kʰ
ընտրատեղամաս	ə n d ɾ ɑ d e ʁ ɑ m ɑ́ s
ընտրել	ə n d ɾ é l
ընտրյալ	ə n d ə ɾ j ɑ́ l
ընտրող	ə n d ɾ ó ʁ
ընտրություն	ə n d ɾ u tʰ ʏ́ n
ընտրվել	ə n d ə ɾ v é l
ըսել	ə s é l
ըստ	ə s t
թ	tʰ ə
թաբախ	tʰ ɑ pʰ ɑ́ χ
թագ	tʰ ɑ kʰ
թագաժահր	tʰ ɑ kʰ ɑ ʒ ɑ́ h ə ɾ
թագավարակ	tʰ ɑ kʰ ɑ v ɑ ɾ ɑ́ ɡ
թագավոր	tʰ ɑ kʰ ɑ v ó ɾ
թագավորություն	tʰ ɑ kʰ ɑ v o ɾ u tʰ ʏ́ n
թագուհի	tʰ ɑ kʰ u h í
թագվոր	tʰ ɑ kʰ v ó ɾ
թազա	tʰ ɑ z ɑ́
թաթ	tʰ ɑ tʰ
թաթավել	tʰ ɑ tʰ ɑ v é l
թաթավուչ	tʰ ɑ tʰ ɑ v ú t͡ʃʰ
թաթար	tʰ ɑ tʰ ɑ́ ɾ
թաթարերեն	tʰ ɑ tʰ ɑ ɾ e ɾ é n
թաթերական	tʰ ɑ tʰ e ɾ ɑ ɡ ɑ́ n
թաթերեն	tʰ ɑ tʰ e ɾ é n
թաթման	tʰ ɑ tʰ m ɑ́ n
թաթուլ	tʰ ɑ tʰ ú l
թաթպան	tʰ ɑ tʰ p ɑ́ n
թաի	tʰ ɑ́ i
թալան	tʰ ɑ l ɑ́ n
թալանչի	tʰ ɑ l ɑ n t͡ʃʰ í
թալիբ	tʰ ɑ l í pʰ
թալիշ	tʰ ɑ l í ʃ
թալիշագիտություն	tʰ ɑ l i ʃ ɑ kʰ i d u tʰ ʏ́ n
թալիշերեն	tʰ ɑ l i ʃ e ɾ é n
թալմուդ	tʰ ɑ l m ú tʰ
թախանձել	tʰ ɑ χ ɑ n t͡sʰ é l
թախտ	tʰ ɑ χ t
թակ	tʰ ɑ ɡ
թակաղ	tʰ ɑ ɡ ɑ́ ʁ
թակարդ	tʰ ɑ ɡ ɑ́ ɾ tʰ
թակոց	tʰ ɑ ɡ ó t͡sʰ
թակույկ	tʰ ɑ ɡ ú j ɡ
թաղ	tʰ ɑ ʁ
թաղամաս	tʰ ɑ ʁ ɑ m ɑ́ s
թաղանթ	tʰ ɑ ʁ ɑ́ n tʰ
թաղապետ	tʰ ɑ ʁ ɑ b é d
թաղել	tʰ ɑ ʁ é l
թաղիք	tʰ ɑ ʁ í kʰ
թաղում	tʰ ɑ ʁ ú m
թամադա	tʰ ɑ m ɑ tʰ ɑ́
թամամ	tʰ ɑ m ɑ́ m
թամաշա	tʰ ɑ m ɑ ʃ ɑ́
թամբ	tʰ ɑ m pʰ
թամբագործ	tʰ ɑ m pʰ ɑ kʰ ó ɾ d͡z
թամիլերեն	tʰ ɑ m i l e ɾ é n
թայֆա	tʰ ɑ j f ɑ́
թայֆուն	tʰ ɑ j f ú n
թան	tʰ ɑ n
թանալ	tʰ ɑ n ɑ́ l
թանաք	tʰ ɑ n ɑ́ kʰ
թանաքաձուկ	tʰ ɑ n ɑ kʰ ɑ t͡sʰ ú ɡ
թանաքաման	tʰ ɑ n ɑ kʰ ɑ m ɑ́ n
թանգարան	tʰ ɑ ŋ kʰ ɑ ɾ ɑ́ n
թանթռնիկ	tʰ ɑ n tʰ ə r n í ɡ
թանթրավենի	tʰ ɑ n tʰ ɾ ɑ v e n í
թանթրվենի	tʰ ɑ n tʰ ə ɾ v e n í
թանկ	tʰ ɑ ŋ ɡ
թանկարժեք	tʰ ɑ ŋ ɡ ɑ ɾ ʒ é kʰ
թանձր	tʰ ɑ́ n t͡sʰ ə ɾ
թանձրանալ	tʰ ɑ n t͡sʰ ə ɾ ɑ n ɑ́ l
թանչ	tʰ ɑ n t͡ʃʰ
թանջարա	tʰ ɑ n t͡ʃʰ ɑ ɾ ɑ́
թաշկինակ	tʰ ɑ ʃ k i n ɑ́ ɡ
թառ	tʰ ɑ r
թառամ	tʰ ɑ r ɑ́ m
թառամել	tʰ ɑ r ɑ m é l
թառամիլ	tʰ ɑ r ɑ m í l
թառափ	tʰ ɑ r ɑ́ pʰ
թառել	tʰ ɑ r é l
թառմա	tʰ ɑ r m ɑ́
թաս	tʰ ɑ s
թասիբ	tʰ ɑ s í pʰ
թավ	tʰ ɑ v
թավա	tʰ ɑ v ɑ́
թավալ	tʰ ɑ v ɑ́ l
թավալվել	tʰ ɑ v ɑ l v é l
թավիշ	tʰ ɑ v í ʃ
թավշակերպ	tʰ ɑ f ʃ ɑ ɡ é ɾ b
թավշապատ	tʰ ɑ f ʃ ɑ b ɑ́ d
թավշյա	tʰ ɑ f ʃ j ɑ́
թավուտ	tʰ ɑ v ú d
թավջութակ	tʰ ɑ f t͡ʃʰ u tʰ ɑ́ ɡ
թավջութակահար	tʰ ɑ f t͡ʃʰ u tʰ ɑ ɡ ɑ h ɑ́ ɾ
թատերական	tʰ ɑ d e ɾ ɑ ɡ ɑ́ n
թատրոն	tʰ ɑ d ɾ ó n
թարախ	tʰ ɑ ɾ ɑ́ χ
թարամա	tʰ ɑ ɾ ɑ m ɑ́
թարգման	tʰ ɑ ɾ kʰ m ɑ́ n
թարգմանել	tʰ ɑ ɾ kʰ m ɑ n é l
թարգմանիչ	tʰ ɑ ɾ kʰ m ɑ n í t͡ʃʰ
թարգմանություն	tʰ ɑ ɾ kʰ m ɑ n u tʰ ʏ́ n
թարթ	tʰ ɑ ɾ tʰ
թարթել	tʰ ɑ ɾ tʰ é l
թարթիչ	tʰ ɑ ɾ tʰ í t͡ʃʰ
թարխան	tʰ ɑ ɾ χ ɑ́ n
թարխանա	tʰ ɑ ɾ χ ɑ n ɑ́
թարխանություն	tʰ ɑ ɾ χ ɑ n u tʰ ʏ́ n
թարխուն	tʰ ɑ ɾ χ ú n
թարմ	tʰ ɑ ɾ m
թարմա	tʰ ɑ ɾ m ɑ́
թարմանալ	tʰ ɑ ɾ m ɑ n ɑ́ l
թարմացնել	tʰ ɑ ɾ m ɑ t͡sʰ ə n é l
թարշամ	tʰ ɑ ɾ ʃ ɑ́ m
թարշամել	tʰ ɑ ɾ ʃ ɑ m é l
թարփ	tʰ ɑ ɾ pʰ
թաց	tʰ ɑ t͡sʰ
թացություն	tʰ ɑ t͡sʰ u tʰ ʏ́ n
թափ	tʰ ɑ pʰ
թափանցիկ	tʰ ɑ pʰ ɑ n t͡sʰ í ɡ
թափանցիկություն	tʰ ɑ pʰ ɑ n t͡sʰ i ɡ u tʰ ʏ́ n
թափառական	tʰ ɑ pʰ ɑ r ɑ ɡ ɑ́ n
թափել	tʰ ɑ pʰ é l
թափոն	tʰ ɑ pʰ ó n
թափոններ	tʰ ɑ pʰ o nː é ɾ
թափոր	tʰ ɑ pʰ ó ɾ
թափուլ	tʰ ɑ pʰ ú l
թափուր	tʰ ɑ pʰ ú ɾ
թափվել	tʰ ɑ pʰ v é l
թափք	tʰ ɑ pʰ kʰ
թաք	tʰ ɑ kʰ
թաքավիթ	tʰ ɑ kʰ ɑ v í tʰ
թաքթաքուր	tʰ ɑ kʰ tʰ ɑ kʰ ú ɾ
թաքնվել	tʰ ɑ kʰ n ə v é l
թաքուն	tʰ ɑ kʰ ú n
թաքուստ	tʰ ɑ kʰ ú s t
թաքչել	tʰ ɑ kʰ t͡ʃʰ é l
թաքցնել	tʰ ɑ kʰ t͡sʰ ə n é l
թե	tʰ e
թեզ	tʰ e z
թեզան	tʰ e z ɑ́ n
թեզանիք	tʰ e z ɑ n í kʰ
թեզաուրուս	tʰ e z ɑ u ɾ ú s
թեզնիք	tʰ e z n í kʰ
թեթև	tʰ e tʰ é v
թեթևաշարժ	tʰ e tʰ e v ɑ ʃ ɑ́ ɾ ʒ
թեժ	tʰ e ʒ
թել	tʰ e l
թելադրիչ	tʰ e l ɑ tʰ ɾ í t͡ʃʰ
թելեցուկ	tʰ e l e t͡sʰ ú ɡ
թելեֆոն	tʰ e l e f ó n
թելով	tʰ e l ó v
թեկնածու	tʰ e ɡ n ɑ d͡z ú
թեկուզ	tʰ e ɡ ú z
թեկուզև	tʰ e ɡ u z é v
թեղի	tʰ e ʁ í
թեղոշ	tʰ e ʁ ó ʃ
թեմ	tʰ e m
թեմա	tʰ e m ɑ́
թեյ	tʰ e j
թեյարան	tʰ e j ɑ ɾ ɑ́ n
թեյնիկ	tʰ e j n í ɡ
թեն	tʰ e n
թենիս	tʰ e n í s
թենիսիստ	tʰ e n i s í s t
թենիսիստուհի	tʰ e n i s i s t u h í
թեշի	tʰ e ʃ í
թեշիկ	tʰ e ʃ í ɡ
թեոկրատական	tʰ e o ɡ ɾ ɑ d ɑ ɡ ɑ́ n
թեոկրատիա	tʰ e o ɡ ɾ ɑ d i j ɑ́
թեոկրատիա	tʰ e o ɡ ɾ ɑ́ d i j ɑ
թեոսոֆիա	tʰ e o s o f i j ɑ́
թեոսոֆիական	tʰ e o s o f i j ɑ ɡ ɑ́ n
թեորեմ	tʰ e o ɾ é m
թեորիապես	tʰ e o ɾ i j ɑ b é s
թեպետ	tʰ e b é d
թեր	tʰ e ɾ
թերագնահատել	tʰ e ɾ ɑ kʰ ə n ɑ h ɑ d é l
թերագնահատում	tʰ e ɾ ɑ kʰ ə n ɑ h ɑ d ú m
թերակղզի	tʰ e ɾ ɑ ɡ ə ʁ z í
թերահավատ	tʰ e ɾ ɑ h ɑ v ɑ́ d
թերասնում	tʰ e ɾ ɑ s ə n ú m
թերթ	tʰ e ɾ tʰ
թերթիկ	tʰ e ɾ tʰ í ɡ
թերթոն	tʰ e ɾ tʰ ó n
թերի	tʰ e ɾ í
թերմոստատ	tʰ e ɾ m o s t ɑ́ d
թերություն	tʰ e ɾ u tʰ ʏ́ n
թեփ	tʰ e pʰ
թեփամողես	tʰ e pʰ ɑ m o ʁ é s
թեփամորթ	tʰ e pʰ ɑ m ó ɾ tʰ
թեփուկ	tʰ e pʰ ú ɡ
թեք	tʰ e kʰ
թեքել	tʰ e kʰ é l
թեքում	tʰ e kʰ ú m
թեքվել	tʰ e kʰ v é l
թեև	tʰ e j é v
թզենի	tʰ ə z e n í
թզուկ	tʰ ə z ú ɡ
թթենի	tʰ ə tʰ e n í
թթի	tʰ ə tʰ í
թթխմոր	tʰ ə tʰ χ ə m ó ɾ
թթու	tʰ ə tʰ ú
թթված	tʰ ə tʰ v ɑ́ d͡z
թթվածին	tʰ ə tʰ v ɑ d͡z í n
թթվաշ	tʰ ə tʰ v ɑ́ ʃ
թթվասեր	tʰ ə tʰ v ɑ s é ɾ
թթվել	tʰ ə tʰ v é l
թթվություն	tʰ ə tʰ v u tʰ ʏ́ n
թի	tʰ i
թիակ	tʰ i j ɑ́ ɡ
թիզ	tʰ i z
թիթեղ	tʰ i tʰ é ʁ
թիթեռ	tʰ i tʰ é r
թիթեռնակ	tʰ i tʰ e r n ɑ́ ɡ
թիթեռնիկ	tʰ i tʰ e r n í ɡ
թիկնապահ	tʰ i ɡ n ɑ b ɑ́ h
թիկնեղ	tʰ i ɡ n é ʁ
թիկունք	tʰ i ɡ ú ŋ kʰ
թիմ	tʰ i m
թիմային	tʰ i m ɑ j í n
թինեյջեր	tʰ i n e j t͡ʃʰ é ɾ
թիռ	tʰ i r
թիս	tʰ i s
թիվ	tʰ i v
թիրախ	tʰ i ɾ ɑ́ χ
թիրախային	tʰ i ɾ ɑ χ ɑ j í n
թիքա	tʰ i kʰ ɑ́
թլիփ	tʰ ə l í pʰ
թլվատ	tʰ ə l v ɑ́ d
թլվատել	tʰ ə l v ɑ d é l
թլփատ	tʰ ə l pʰ ɑ́ d
թլփատություն	tʰ ə l pʰ ɑ d u tʰ ʏ́ n
թլփատում	tʰ ə l pʰ ɑ d ú m
թխել	tʰ ə χ é l
թխկի	tʰ ə χ k í
թխուկ	tʰ ə χ ú ɡ
թխվածք	tʰ ə χ v ɑ́ t͡sʰ kʰ
թղթադրամ	tʰ ə χ tʰ ɑ tʰ ə ɾ ɑ́ m
թղթախաղ	tʰ ə χ tʰ ɑ χ ɑ́ ʁ
թղթակից	tʰ ə χ tʰ ɑ ɡ í t͡sʰ
թղթապանակ	tʰ ə χ tʰ ɑ b ɑ n ɑ́ ɡ
թմբլիկ	tʰ ə m pʰ ə l í ɡ
թմբկաթաղանթ	tʰ ə m pʰ k ɑ tʰ ɑ ʁ ɑ́ n tʰ
թմբկահար	tʰ ə m pʰ k ɑ h ɑ́ ɾ
թմբուկ	tʰ ə m pʰ ú ɡ
թմրամիջոց	tʰ ə m ɾ ɑ m i t͡ʃʰ ó t͡sʰ
թմրամոլ	tʰ ə m ɾ ɑ m ó l
թմրամոլություն	tʰ ə m ɾ ɑ m o l u tʰ ʏ́ n
թմրել	tʰ ə m ɾ é l
թմրիլ	tʰ ə m ɾ í l
թմփլիկ	tʰ ə m pʰ ə l í ɡ
թյունիկ	tʰ ʏ n í ɡ
թյուննոս	tʰ ʏ nː ó s
թյունոս	tʰ ʏ n ó s
թյուր	tʰ ʏ ɾ
թյուրիմացություն	tʰ ʏ ɾ i m ɑ t͡sʰ u tʰ ʏ́ n
թյուրքական	tʰ ʏ ɾ kʰ ɑ ɡ ɑ́ n
թնդալ	tʰ ə n tʰ ɑ́ l
թնդանոթ	tʰ ə n tʰ ɑ n ó tʰ
թնդյուն	tʰ ə n tʰ ʏ́ n
թշնամի	tʰ ə ʃ n ɑ m í
թշնամություն	tʰ ə ʃ n ɑ m u tʰ ʏ́ n
թշվառ	tʰ ə ʃ v ɑ́ r
թո	tʰ o
թոզ	tʰ o z
թոթով	tʰ o tʰ ó v
թոթովել	tʰ o tʰ o v é l
թոթվել	tʰ o tʰ v é l
թոխար	tʰ o χ ɑ́ ɾ
թոխարական	tʰ o χ ɑ ɾ ɑ ɡ ɑ́ n
թոխարերեն	tʰ o χ ɑ ɾ e ɾ é n
թոխի	tʰ o χ í
թոխոր	tʰ o χ ó ɾ
թոխում	tʰ o χ ú m
թոխր	tʰ ó χ ə ɾ
թոկ	tʰ o ɡ
թող	tʰ o ʁ
թողարկել	tʰ o ʁ ɑ ɾ ɡ é l
թողել	tʰ o ʁ é l
թողնել	tʰ o ʁ n é l
թողոն	tʰ o ʁ ó n
թողություն	tʰ o ʁ u tʰ ʏ́ n
թողուլ	tʰ o ʁ ú l
թողտվություն	tʰ o ʁ d ə v u tʰ ʏ́ n
թոնիր	tʰ o n í ɾ
թոշակ	tʰ o ʃ ɑ́ ɡ
թոշակառու	tʰ o ʃ ɑ ɡ ɑ r ú
թոշնել	tʰ o ʃ n é l
թոռ	tʰ o r
թոռմիլ	tʰ o r m í l
թոռնիկ	tʰ o r n í ɡ
թոռնուհի	tʰ o r n u h í
թոռոմ	tʰ o r ó m
թոռոմել	tʰ o r o m é l
թովել	tʰ o v é l
թովիչ	tʰ o v í t͡ʃʰ
թովչանք	tʰ o f t͡ʃʰ ɑ́ ŋ kʰ
թովչել	tʰ o f t͡ʃʰ é l
թովք	tʰ o f kʰ
թորիծ	tʰ o ɾ í d͡z
թորխ	tʰ o ɾ χ
թորշոմ	tʰ o ɾ ʃ ó m
թորշոմել	tʰ o ɾ ʃ o m é l
թուզ	tʰ u z
թութ	tʰ u tʰ
թութակ	tʰ u tʰ ɑ́ ɡ
թութխալ	tʰ u tʰ χ ɑ́ l
թութուն	tʰ u tʰ ú n
թութք	tʰ u tʰ kʰ
թուլ	tʰ u l
թուլա	tʰ u l ɑ́
թուլաբանջար	tʰ u l ɑ pʰ ɑ n t͡ʃʰ ɑ́ ɾ
թուլաբարո	tʰ u l ɑ pʰ ɑ ɾ ó
թուլաբարոյություն	tʰ u l ɑ pʰ ɑ ɾ o j u tʰ ʏ́ n
թուլաբերան	tʰ u l ɑ pʰ e ɾ ɑ́ n
թուլաբերանություն	tʰ u l ɑ pʰ e ɾ ɑ n u tʰ ʏ́ n
թուլաբնություն	tʰ u l ɑ pʰ ə n u tʰ ʏ́ n
թուլանալ	tʰ u l ɑ n ɑ́ l
թուլացում	tʰ u l ɑ t͡sʰ ú m
թուխ	tʰ u χ
թուխու	tʰ u χ ú
թուխպ	tʰ u χ p
թուխս	tʰ u χ s
թուղթ	tʰ u χ tʰ
թումբ	tʰ u m pʰ
